id,observed_on,time_observed_at,latitude,longitude,scientific_name,common_name
202215768,3/12/2024,2024-03-12 22:00:00 UTC,38.33843346,-75.0873637,Pandion haliaetus carolinensis,American Osprey
202989013,3/12/2024,2024-03-12 12:59:11 UTC,27.63275,-82.72377833,Pandion haliaetus carolinensis,American Osprey
202361726,3/13/2024,2024-03-13 15:51:00 UTC,32.55033393,-80.24768264,Pandion haliaetus carolinensis,American Osprey
203169609,3/13/2024,2024-03-13 17:52:07 UTC,26.88783151,-111.9872145,Pandion haliaetus carolinensis,American Osprey
225647097,3/13/2024,2024-03-13 19:55:00 UTC,25.9403219,-81.4659153,Pandion haliaetus carolinensis,American Osprey
202465826,3/14/2024,2024-03-14 13:58:00 UTC,30.47682109,-88.65502225,Pandion haliaetus carolinensis,American Osprey
202465837,3/14/2024,2024-03-14 15:21:00 UTC,30.47682109,-88.65502225,Pandion haliaetus carolinensis,American Osprey
203244000,3/14/2024,2024-03-15 00:46:00 UTC,26.58058153,-99.13839287,Pandion haliaetus carolinensis,American Osprey
202593499,3/15/2024,2024-03-15 19:21:00 UTC,31.5697324,-97.25833181,Pandion haliaetus carolinensis,American Osprey
202776604,3/16/2024,2024-03-16 15:44:00 UTC,20.9477614,-89.5766532,Pandion haliaetus carolinensis,American Osprey
202789157,3/16/2024,2024-03-16 12:47:00 UTC,32.65468614,-97.47406227,Pandion haliaetus carolinensis,American Osprey
204006446,3/16/2024,2024-03-16 05:24:00 UTC,34.794072,-87.6264545,Pandion haliaetus carolinensis,American Osprey
204352918,3/16/2024,2024-03-16 16:47:09 UTC,43.40649922,-124.2242803,Pandion haliaetus carolinensis,American Osprey
202825687,3/17/2024,2024-03-17 13:51:35 UTC,41.00229479,-81.51757501,Pandion haliaetus carolinensis,American Osprey
202968962,3/18/2024,2024-03-18 12:34:14 UTC,32.49140788,-93.84220641,Pandion haliaetus carolinensis,American Osprey
203178162,3/18/2024,2024-03-18 14:43:00 UTC,36.61884661,-121.9019768,Pandion haliaetus carolinensis,American Osprey
206358487,3/19/2024,2024-03-19 15:44:00 UTC,37.95244165,-76.91575269,Pandion haliaetus carolinensis,American Osprey
203317112,3/20/2024,2024-03-20 14:23:17 UTC,25.51958333,-80.34548,Pandion haliaetus carolinensis,American Osprey
203607450,3/20/2024,2024-03-20 15:26:00 UTC,26.96943,-80.08009831,Pandion haliaetus carolinensis,American Osprey
228423192,3/20/2024,2024-03-20 12:06:00 UTC,41.9626035,-70.6383679,Pandion haliaetus carolinensis,American Osprey
203406898,3/21/2024,2024-03-21 22:42:02 UTC,44.98119678,-124.0041391,Pandion haliaetus carolinensis,American Osprey
